"id";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"availability_365";"number_of_reviews_ltm"
27644;119510;"Emma";"Manhattan";"Harlem";40.82682;-73.94948;"Entire home/apt";180;2;219;"2022-01-01";1.67;293;11
27883;120223;"Jen";"Manhattan";"East Village";40.72421;-73.98509;"Entire home/apt";100;30;25;"2011-12-10";0.18;0;0
44229;181376;"Carol";"Brooklyn";"Fort Greene";40.69287;-73.97108;"Private room";110;30;231;"2020-02-11";1.63;335;0
44288;193637;"Sara";"Manhattan";"West Village";40.73737;-74.00437;"Entire home/apt";170;30;88;"2020-12-07";0.61;132;0
44973;198411;"Anastasia";"Brooklyn";"Williamsburg";40.70894;-73.95234;"Entire home/apt";104;30;125;"2022-04-02";0.88;122;4
45542;202249;"Campbell";"Manhattan";"Harlem";40.82569;-73.93842;"Entire home/apt";100;30;18;"2018-12-17";0.4;0;0
45556;67778;"Doug";"Brooklyn";"Fort Greene";40.68834;-73.97578;"Private room";65;2;317;"2022-05-22";2.22;153;57
45910;204539;"Mark";"Queens";"Ridgewood";40.70309;-73.89963;"Entire home/apt";395;30;13;"2019-11-12";0.1;358;0
45935;204586;"L";"Bronx";"Mott Haven";40.80635;-73.92201;"Private room";60;30;0;"";0.0;83;0
45936;867225;"Rahul";"Manhattan";"Morningside Heights";40.8063;-73.95985;"Private room";75;31;133;"2022-04-22";0.96;145;4
46911;210746;"Kathleen R.";"Brooklyn";"Prospect Heights";40.68022;-73.97457;"Private room";120;3;59;"2022-05-08";0.41;267;8
49048;35935;"Angela";"Brooklyn";"Bedford-Stuyvesant";40.6829;-73.95701;"Private room";90;30;23;"2022-04-30";0.17;155;3
50447;9744;"Laurie";"Brooklyn";"Gowanus";40.66913;-73.99041;"Entire home/apt";162;5;214;"2022-05-15";1.52;265;28
51438;236421;"Jessica";"Manhattan";"Upper East Side";40.77449;-73.95308;"Private room";130;14;0;"";0.0;0;0
51850;27848;"Jullett";"Queens";"Jamaica";40.67144;-73.76501;"Private room";65;30;53;"2019-09-03";0.37;328;0
52689;244071;"Litza";"Queens";"Ditmars Steinway";40.77868;-73.90652;"Entire home/apt";150;4;30;"2022-05-27";0.22;38;24
53469;204539;"Mark";"Queens";"Middle Village";40.71567;-73.87842;"Entire home/apt";107;30;33;"2015-05-09";0.23;339;0
53470;204539;"Mark";"Queens";"Ridgewood";40.70422;-73.89778;"Entire home/apt";193;30;6;"2015-10-08";0.05;358;0
53477;204539;"Mark";"Queens";"Middle Village";40.71778;-73.87714;"Entire home/apt";350;30;16;"2019-08-09";0.12;317;0
54466;253385;"Douglas";"Manhattan";"Harlem";40.80255;-73.95803;"Private room";200;30;0;"";0.0;365;0
54508;210746;"Kathleen R.";"Brooklyn";"Park Slope";40.67908;-73.97405;"Private room";80;2;126;"2022-06-01";0.89;310;23
54694;27848;"Jullett";"Queens";"Jamaica";40.67144;-73.76501;"Private room";65;30;62;"2018-01-01";0.44;0;0
54860;258164;"Jenny";"Manhattan";"East Harlem";40.79934;-73.94236;"Private room";100;5;257;"2022-05-22";1.82;174;28
55587;131716;"Daniel";"Brooklyn";"Williamsburg";40.71311;-73.9506;"Entire home/apt";235;3;18;"2022-05-08";0.14;36;7
55959;168525;"Gus";"Brooklyn";"Williamsburg";40.71065;-73.95087;"Private room";95;5;93;"2020-06-25";0.86;32;0
55982;264928;"Sally";"Brooklyn";"Fort Greene";40.68701;-73.97555;"Private room";85;3;38;"2021-11-13";0.27;0;1
56859;256161;"Wayne";"Manhattan";"Harlem";40.81201;-73.94452;"Private room";74;3;226;"2022-05-18";1.62;43;18
57166;272006;"Vasili";"Queens";"Ditmars Steinway";40.772472;-73.906075;"Entire home/apt";150;3;87;"2022-06-03";0.62;290;38
57618;274557;"Ana";"Manhattan";"Hell's Kitchen";40.76505;-73.98716;"Entire home/apt";250;3;118;"2022-04-07";0.88;4;5
57754;275578;"R";"Manhattan";"Flatiron District";40.74166;-73.9866;"Entire home/apt";330;2;161;"2022-05-29";1.2;160;27
57874;276291;"Simon";"Manhattan";"East Harlem";40.80747;-73.94076;"Entire home/apt";160;3;326;"2022-05-17";2.31;178;53
58059;277379;"Agnes";"Manhattan";"Harlem";40.8238;-73.94444;"Private room";60;1;605;"2022-05-30";4.47;178;57
58062;277394;"Linda";"Brooklyn";"Windsor Terrace";40.65912;-73.9842;"Private room";139;2;25;"2020-02-16";0.21;246;0
59014;282927;"Drica";"Manhattan";"Lower East Side";40.71946;-73.98641;"Entire home/apt";180;30;57;"2020-02-18";0.41;343;0
59121;204539;"Mark";"Queens";"Ridgewood";40.70271;-73.8993;"Entire home/apt";196;30;2;"2019-11-01";0.02;358;0
59709;186084;"Ricardo & Ashlie";"Manhattan";"Chinatown";40.7178;-73.9932;"Entire home/apt";300;7;46;"2022-05-20";0.34;7;21
60164;289653;"Harrison";"Manhattan";"Tribeca";40.72012;-74.00397;"Entire home/apt";608;30;108;"2022-02-05";0.83;295;2
60181;128806;"Sue";"Manhattan";"East Village";40.7253;-73.98028;"Entire home/apt";195;45;37;"2020-01-01";0.27;18;0
60457;99212;"Jessica";"Manhattan";"Greenwich Village";40.73072;-73.99275;"Entire home/apt";250;30;10;"2019-08-21";0.07;0;0
60666;256161;"Wayne";"Manhattan";"Harlem";40.81006;-73.94559;"Private room";111;3;226;"2022-05-16";1.63;32;10
60673;249372;"Cynthia";"Manhattan";"Harlem";40.81562;-73.94674;"Private room";125;30;3;"2019-10-20";0.07;0;0
60680;292630;"Mich";"Manhattan";"East Village";40.72598;-73.97978;"Entire home/apt";160;30;164;"2022-03-08";1.17;314;1
60794;293394;"Rachel";"Manhattan";"Upper West Side";40.79918;-73.96248;"Entire home/apt";211;30;4;"2017-08-25";0.03;0;0
61509;23619;"Anna/Fonzy";"Manhattan";"Midtown";40.75743;-73.96825;"Entire home/apt";110;200;92;"2019-04-30";0.67;0;0
74860;394752;"Allison";"Brooklyn";"Greenpoint";40.72364;-73.95013;"Entire home/apt";75;30;3;"2019-10-30";0.02;0;0
75635;401696;"Patricia";"Manhattan";"Lower East Side";40.71911;-73.98588;"Entire home/apt";160;3;336;"2022-05-26";2.45;182;14
77517;415660;"Carmen";"Brooklyn";"Williamsburg";40.71407;-73.96657;"Private room";100;28;3;"2012-07-23";0.02;338;0
77765;417504;"The Box House Hotel";"Brooklyn";"Greenpoint";40.73777;-73.95366;"Hotel room";250;3;41;"2022-04-24";0.3;202;3
80493;434987;"Jennifer";"Manhattan";"East Village";40.72322;-73.98615;"Private room";55;2;201;"2022-04-22";1.48;98;4
80684;417504;"The Box House Hotel";"Brooklyn";"Greenpoint";40.73756;-73.9535;"Hotel room";529;3;10;"2021-11-13";0.08;164;2
80700;417504;"The Box House Hotel";"Brooklyn";"Greenpoint";40.73777;-73.95366;"Private room";363;3;8;"2022-05-16";0.06;198;1
80924;438133;"Ellis";"Brooklyn";"Park Slope";40.67407;-73.98105;"Entire home/apt";160;30;37;"2020-02-18";0.36;154;0
81739;417504;"The Box House Hotel";"Brooklyn";"Greenpoint";40.73777;-73.95366;"Private room";363;3;2;"2011-05-12";0.01;198;0
82928;451545;"Ruthven";"Brooklyn";"Bedford-Stuyvesant";40.68433;-73.94469;"Entire home/apt";150;30;75;"2022-05-02";0.96;66;4
83243;453519;"Julian";"Brooklyn";"Bushwick";40.68769;-73.91788;"Entire home/apt";77;30;252;"2022-06-01";1.85;307;2
83446;454756;"Leslie";"Brooklyn";"Fort Greene";40.68871;-73.97322;"Entire home/apt";150;30;6;"2019-08-21";0.04;0;0
84010;417504;"The Box House Hotel";"Brooklyn";"Greenpoint";40.73777;-73.95366;"Hotel room";210;3;21;"2022-05-04";0.16;197;5
89621;209460;"Marylyn Palmer";"Brooklyn";"Crown Heights";40.67823;-73.94719;"Entire home/apt";90;30;239;"2022-03-20";1.81;354;1
93313;25183;"Nathalie";"Brooklyn";"Bedford-Stuyvesant";40.68413;-73.93817;"Entire home/apt";135;2;129;"2022-05-10";0.96;250;23
94209;503800;"Peace";"Brooklyn";"Crown Heights";40.67654;-73.94629;"Entire home/apt";101;1;29;"2022-05-20";1.97;65;22
94783;473113;"Keishera";"Brooklyn";"Crown Heights";40.6736;-73.9551;"Entire home/apt";140;6;130;"2022-05-28";0.96;294;13
95747;509341;"Tessa";"Brooklyn";"Williamsburg";40.71167;-73.94932;"Entire home/apt";140;7;16;"2022-05-01";0.12;21;2
95883;509918;"Eduardo";"Brooklyn";"Bedford-Stuyvesant";40.69304;-73.95417;"Entire home/apt";250;6;6;"2021-07-25";0.06;164;1
98663;520279;"Peter Michael";"Manhattan";"Chelsea";40.75077;-73.99657;"Entire home/apt";150;30;19;"2018-06-11";0.14;185;0
99085;522164;"Wanda";"Brooklyn";"Fort Greene";40.6867;-73.97469;"Entire home/apt";123;30;26;"2022-04-29";0.19;236;5
100186;526805;"Mi";"Brooklyn";"Gowanus";40.66952;-73.99201;"Entire home/apt";130;30;111;"2022-03-20";0.83;6;5
100368;526105;"Scott";"Manhattan";"Chelsea";40.74056;-74.00143;"Entire home/apt";222;30;35;"2021-05-31";0.26;295;0
101053;530032;"Lee And Tara";"Brooklyn";"Williamsburg";40.71116;-73.95484;"Private room";175;60;38;"2021-07-12";0.28;0;1
102995;178043;"Chas";"Manhattan";"Upper West Side";40.78645;-73.97082;"Entire home/apt";389;30;45;"2018-01-01";0.34;1;0
103161;465278;"Ade";"Brooklyn";"Williamsburg";40.71551;-73.96274;"Entire home/apt";375;10;144;"2022-05-20";1.36;192;7
103311;417504;"The Box House Hotel";"Brooklyn";"Greenpoint";40.73778;-73.95366;"Private room";785;3;9;"2018-05-19";0.07;107;0
103555;220001;"Gordon";"Brooklyn";"Fort Greene";40.693047;-73.971985;"Entire home/apt";375;1;281;"2022-05-09";2.08;154;1
105469;547386;"Michelle";"Queens";"Rockaway Beach";40.58603;-73.8145;"Private room";104;2;17;"2021-09-17";0.13;86;1
105790;548817;"Armand";"Manhattan";"Harlem";40.81919;-73.95443;"Private room";80;30;144;"2019-06-25";1.13;60;0
106363;551055;"Alicia";"Manhattan";"Harlem";40.82772;-73.95284;"Private room";79;5;436;"2022-05-31";3.24;239;19
106647;552679;"Olivia";"Brooklyn";"Bedford-Stuyvesant";40.68647;-73.95862;"Entire home/apt";150;2;120;"2022-04-26";0.89;6;16
106906;553964;"Justine";"Brooklyn";"Clinton Hill";40.68615;-73.96769;"Entire home/apt";225;45;12;"2016-01-05";0.09;215;0
107630;306739;"Maya";"Brooklyn";"Greenpoint";40.72741;-73.95466;"Entire home/apt";175;3;312;"2022-05-16";2.34;56;31
107895;3088389;"Kai";"Manhattan";"Upper West Side";40.78073;-73.98564;"Entire home/apt";166;30;63;"2022-05-15";0.51;238;2
112304;573316;"Kelli";"Manhattan";"Harlem";40.8069;-73.95372;"Private room";90;30;1;"2016-01-02";0.01;0;0
112435;181376;"Carol";"Brooklyn";"Fort Greene";40.69132;-73.97306;"Private room";95;30;177;"2020-02-16";1.32;339;0
113092;575906;"San";"Brooklyn";"Fort Greene";40.6905;-73.97867;"Private room";90;30;0;"";0.0;0;0
113265;314582;"Anthony";"Brooklyn";"Crown Heights";40.67582;-73.9518;"Private room";55;30;272;"2022-04-07";2.03;307;2
114123;579495;"Susi";"Brooklyn";"South Slope";40.66562;-73.99002;"Entire home/apt";235;364;34;"2020-01-11";0.26;362;0
115535;567187;"Jane";"Manhattan";"Harlem";40.82402;-73.95263;"Private room";65;30;34;"2019-10-30";0.25;303;0
115748;585166;"Lilly";"Queens";"Astoria";40.76406;-73.92266;"Entire home/apt";85;5;37;"2022-05-03";0.28;8;4
116551;497672;"Cynthia And  Charlie";"Manhattan";"Harlem";40.80384;-73.95123;"Entire home/apt";70;30;172;"2021-09-14";1.28;30;1
118061;2248897;"Roberta";"Brooklyn";"Bedford-Stuyvesant";40.68462;-73.92895;"Entire home/apt";95;30;87;"2022-02-08";0.67;217;3
121861;611716;"Elizabeth";"Brooklyn";"Park Slope";40.6755;-73.98137;"Entire home/apt";165;2;27;"2021-12-29";0.2;86;4
